Process	CPU	Private Bytes	Working Set	PID	Description	Company Name
 firefox.exe		48,824 K	44,708 K	8428	Firefox	Mozilla Corporation
 firefox.exe		56,056 K	45,316 K	17912	Firefox	Mozilla Corporation
 firefox.exe	< 0.01	614,664 K	533,096 K	10724	Firefox	Mozilla Corporation
 firefox.exe	< 0.01	214,084 K	124,812 K	22856	Firefox	Mozilla Corporation
 firefox.exe		42,704 K	38,528 K	12660	Firefox	Mozilla Corporation
 firefox.exe	3.45	772,500 K	650,928 K	6140	Firefox	Mozilla Corporation
 plugin-container.exe	0.34	29,504 K	20,416 K	12992	Plugin Container for Firefox	Mozilla Corporation
 firefox.exe	< 0.01	575,368 K	386,152 K	17692	Firefox	Mozilla Corporation
 firefox.exe	0.69	100,052 K	95,520 K	17288	Firefox	Mozilla Corporation
 firefox.exe	< 0.01	114,292 K	115,668 K	7752	Firefox	Mozilla Corporation
 firefox.exe	< 0.01	306,796 K	258,692 K	14776	Firefox	Mozilla Corporation
 firefox.exe	< 0.01	145,128 K	79,612 K	12156	Firefox	Mozilla Corporation
 firefox.exe		43,024 K	39,572 K	11312	Firefox	Mozilla Corporation
 firefox.exe		42,908 K	39,544 K	22788	Firefox	Mozilla Corporation
 firefox.exe		53,868 K	39,060 K	9548	Firefox	Mozilla Corporation
 firefox.exe		45,436 K	39,332 K	23832	Firefox	Mozilla Corporation
 firefox.exe		80,460 K	63,476 K	2812	Firefox	Mozilla Corporation
 firefox.exe		76,980 K	55,064 K	25216	Firefox	Mozilla Corporation
 firefox.exe	< 0.01	450,136 K	359,448 K	13520	Firefox	Mozilla Corporation
 firefox.exe	< 0.01	540,600 K	421,028 K	22476	Firefox	Mozilla Corporation
 firefox.exe		46,184 K	41,428 K	20760	Firefox	Mozilla Corporation
 firefox.exe		60,700 K	51,536 K	12412	Firefox	Mozilla Corporation
 firefox.exe	< 0.01	263,164 K	125,892 K	1792	Firefox	Mozilla Corporation
 firefox.exe		58,900 K	40,596 K	22420	Firefox	Mozilla Corporation
 firefox.exe	< 0.01	59,540 K	59,448 K	23128	Firefox	Mozilla Corporation
 firefox.exe		68,636 K	54,436 K	15616	Firefox	Mozilla Corporation
 firefox.exe		61,984 K	55,940 K	14100	Firefox	Mozilla Corporation
 firefox.exe	< 0.01	161,068 K	110,720 K	4248	Firefox	Mozilla Corporation
 firefox.exe	< 0.01	147,140 K	64,140 K	9972	Firefox	Mozilla Corporation
 firefox.exe	< 0.01	672,176 K	368,128 K	5620	Firefox	Mozilla Corporation
